- 	18 different types: normal, grass, fire, water, electric, ice, 
	fighting, poison, ground, flying, psychic, bug, rock, ghost,
	dragon, dark, steel, fairy
	
-	advantage matrix:
	atk/def		normal	grass	fire	water	electic	ice	fighting	poison	ground	flying	psychic	bug	rock	ghost	dragon	dark	steel	fairy
	normal		1		1		1		1		1		1	1			1		1		1		1		1	0.5		0		1		1		0.5		1
	grass		1		0.5		0.5		2		1		1	1			0.5		2		0.5		1		0.5	2		1		0.5		1		0.5		1
	fire		1		2		0.5		0.5		1		2	1			1		1		1		1		2	0.5		1		0.5		1		2		1
	water		1		0.5		2		0.5		1		1	1			1		2		1		1		1	2		1		0.5		1		1		1
	electric	1		0.5		1		2		0.5		1	1			1		0		2		1		1	1		1		0.5		1		1		1
	ice			1		2		0.5		0.5		1		0.5	1			1		2		2		1		1	1		1		2		1		0.5		1
	fighting	2		1		1		1		1		2	1			0.5		1		0.5		0.5		0.5	2		0		1		2		2		0.5
	poison		1		2		1		1		1		1	1			0.5		0.5		1		1		1	0.5		0.5		1		1		0		2
	ground		1		0.5		2		1		2		1	1			2		1		0		1		0.5	2		1		1		1		2		1
	flying		1		2		1		1		0.5		1	2			1		1		1		1		2	0.5		1		1		1		0.5		1
	psychic		1		1		1		1		1		1	2			2		1		1		0.5		1	1		1		1		0		0.5		1
	bug			1		2		0.5		1		1		1	0.5			0.5		1		0.5		2		1	1		0.5		1		2		0.5		0.5
	rock		1		1		2		1		1		2	0.5			1		0.5		2		1		2	1		1		1		1		0.5		1
	ghost		0		1		1		1		1		1	1			1		1		1		2		1	1		2		1		0.5		1		1
	dragon		1		1		1		1		1		1	1			1		1		1		1		1	1		1		2		1		0.5		0
	dark		1		1		1		1		1		1	0.5			1		1		1		2		1	1		2		1		0.5		1		0.5
	steel		1		1		0.5		0.5		0.5		2	1			1		2		1		1		1	1		1		1		1		0.5		2
	fairy		1		1		0.5		1		1		1	2			0.5		1		1		1		1	1		1		2		2		0.5		1
